procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  74260 5067636  88028 1353504    0    0     0    66  175  308  1  0 99  0  0
 0  0  74260 5068424  88044 1364984    0    0     0   103  617  786  6  1 93  0  0
 3  0  74260 4964308  88052 1364580    0    0     0   106  700  912  7  1 92  0  0
 0  0  74260 5069528  88060 1364696    0    0     0   124  723 1001  7  1 92  0  0
 1  0  74260 5069576  88068 1364724    0    0     0   106  807 1049  8  1 91  0  0
 3  0  74260 4964716  88084 1364780    0    0     0   115  726  937  7  1 92  0  0
 0  0  74260 5059180  88092 1364928    0    0     0    96  725 1007  7  1 92  0  0
 0  0  74260 5071348  88100 1364876    0    0     0    59  799 1000  8  1 91  0  0
 0  0  74260 5065704  88108 1365008    0    0     0   102  846 1058  8  1 91  0  0
 0  0  74260 5074636  88116 1364972    0    0     0   107  827  988  8  1 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  74260 5001844  88136 1379612    0    0  1392   220 1065 1673  8  2 90  0  0
 0  0  74260 5003036  88156 1383572    0    0   146   194  880 1210  6  1 92  0  0
 0  0  74260 5011748  88168 1372720    0    0     1   201  455  630  3  1 96  0  0
 0  0  74260 5010248  88192 1372684    0    0     0   142  239  390  1  0 99  0  0
 0  0  74260 4978824  88828 1376416    0    0   834    26  715 2640  2  1 98  0  0
 0  0  74260 4978572  88836 1376540    0    0     0   186  260  416  1  0 99  0  0
 0  0  74260 4989740  88860 1369272    0    0     0   160  354  532  1  0 99  0  0
 0  0  74260 5005828  88884 1366836    0    0     0   127  231  430  1  0 99  0  0
 1  0  74260 5026108  88892 1377764    0    0     0    94  726  903  8  1 90  0  0
 5  0  74260 4968100  88900 1377940    0    0     0   196  920 1103 12  2 86  0  0
 0  0  74260 5022040  88908 1377940    0    0     3    94  898 1107  9  2 89  0  0
 4  0  74260 4943520  88924 1377944    0    0     0   150  810 1045  9  2 89  0  0
 0  0  74260 5026544  88932 1378048    0    0     0   126  924 1093 12  2 87  0  0
 0  0  74260 5025712  88956 1378408    0    0     0    70  780  985  9  1 90  0  0
 4  0  74260 4928312  88964 1372972    0    0     0   166  922 1086 10  2 88  0  0
 0  0  74260 5047880  88980 1372156    0    0     0   106  947 1306 11  2 87  0  0
 0  0  74260 5052828  88988 1371828    0    0     0    94 1044 1803 10  2 88  0  0
 0  0  74260 5053084  88996 1373112    0    0     0    86  806  964  8  1 91  0  0
 0  0  74260 5056344  89004 1373168    0    0     0   168 1089 1203 11  1 88  0  0
 0  0  74260 5051652  89012 1373264    0    0     0   105  757  971  9  1 90  0  0
 0  0  74260 5052824  89044 1373292    0    0     0    94  762 1001  9  1 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  74260 5048616  89052 1362360    0    0     0    82  427  605  2  0 98  0  0
 0  0  74260 5048112  89060 1362368    0    0     0    57  207  340  1  0 99  0  0
 0  0  74260 5048112  89076 1362376    0    0     0    99  219  370  1  0 99  0  0
 0  0  74260 5047860  89076 1362380    0    0     0    92  196  333  1  0 99  0  0
 0  0  74260 5047608  89084 1362380    0    0     0    55  202  359  1  0 99  0  0
 0  0  74260 5057220  89108 1362516    0    0     0   118  218  345  1  0 99  0  0
 0  0  74260 5055080  89140 1373348    0    0     0    68  633  665  6  1 93  0  0
 0  0  74260 5056708  89148 1370612    0    0     0   138 1052 1077 11  2 87  0  0
 2  0  74260 5036148  89156 1373940    0    0     0   102 1091 1171 12  2 87  0  0
 0  0  74260 5052036  89164 1373596    0    0     0   109  955 1055  9  2 89  0  0
 0  0  74260 5056852  89172 1373680    0    0     0   106 1399 1308 17  2 81  0  0
 0  0  74260 5057296  89188 1373828    0    0     0   106  992 1073 12  2 87  0  0
 0  0  74260 5051356  89196 1373888    0    0     0   137 1022 1097 11  2 87  0  0
 0  0  74260 5051892  89204 1371760    0    0     0    98 1001 1088 11  2 87  0  0
 5  0  74260 4896744  89212 1373996    0    0     0    48 1207 1125 14  2 84  0  0
 1  0  74260 5041284  89220 1374068    0    0     0   108 1361 1221 14  2 84  0  0
 0  0  74260 5048224  89228 1374124    0    0     0   116 1116 1110 11  2 87  0  0
 5  0  74260 4896148  89252 1374188    0    0     0   162 1280 1161 15  2 83  0  0
 0  0  74260 5058316  89268 1374152    0    0     0   111 1293 1271 13  2 85  0  0
 0  0  74260 5054264  89276 1374252    0    0     0    89 1041 1039 12  2 87  0  0
 0  0  74260 5065288  89284 1363380    0    0     0    81  243  416  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  74260 5064040  89292 1363324    0    0     0    14  222  367  1  0 99  0  0
 0  0  74260 5063284  89300 1363336    0    0     0    54  209  351  1  0 99  0  0
 0  0  74260 5062808  89324 1363320    0    0     0    73  199  338  1  0 99  0  0
 0  0  74260 5062556  89332 1363336    0    0     0    68  233  392  1  0 99  0  0
 0  0  74260 5062556  89340 1363332    0    0     0    88  212  341  1  0 99  0  0
 0  0  74260 5050912  89348 1374344    0    0     0   100 1053 1137 17  3 80  0  0
 6  0  74260 4889640  89356 1374452    0    0     0    54 1270 1276 19  3 79  0  0
 0  0  74260 5053112  89364 1374528    0    0     0   110 1501 1423 21  3 77  0  0
 0  0  74260 5052176  89372 1374492    0    0     0    93 1188 1199 16  2 82  0  0
 7  0  74260 4927716  89404 1373712    0    0     0   162 1270 1280 18  3 79  0  0
 0  0  74260 5053848  89412 1374660    0    0     0   110 1447 1401 21  3 76  0  0
 6  0  74260 4885300  89420 1373548    0    0     0   117 1292 1283 19  2 78  0  0
 0  0  74260 5050888  89428 1374952    0    0     0   110 1553 1458 21  3 76  0  0
 0  0  74260 5052696  89436 1374964    0    0     0   101 1199 1184 16  2 82  0  0
 0  0  74260 5053188  89444 1372656    0    0     0   102 1197 1151 16  2 82  0  0
 3  0  74260 5010000  89460 1375104    0    0     0    90 1669 1443 22  3 75  0  0
 0  0  74260 5055028  89468 1375072    0    0     0    99 1284 1272 17  2 81  0  0
 0  0  74260 5053484  89476 1372444    0    0     0   102 1174 1220 16  2 81  0  0
 0  0  74260 5018328  89492 1372896    0    0     0   106  375  999  1  0 98  0  0
 0  0  74260 5019024  89500 1372884    0    0     0    66  233  414  1  0 99  0  0
 0  0  74260 5018272  89508 1372936    0    0     0    89  228  377  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  74260 5029884  89548 1370448    0    0     0   128  251  438  1  0 99  0  0
 0  0  74260 5028180  89556 1370452    0    0     0    55  201  361  1  0 99  0  0
 0  0  74260 5037328  89564 1370464    0    0     0   154  216  359  1  0 99  0  0
 0  0  74260 5053980  89596 1375456    0    0     0   198 1238 1282 21  3 76  0  0
 0  0  74260 5053520  89604 1372688    0    0     0   202 1255 1297 22  3 75  0  0
 5  0  74260 4997504  89612 1374844    0    0     0   166 1703 1479 31  4 64  0  0
 1  0  74260 5055000  89636 1373396    0    0     0   158 1498 1423 22  3 75  0  0
 7  0  74260 5018888  89644 1375728    0    0     0    84 1395 1374 22  4 74  0  0
 8  0  74260 4973664  89660 1376816    0    0     0   125 1472 1396 26  4 70  0  0
 0  0  74260 5053916  89668 1376484    2    0     2   126 1476 1562 25  4 72  0  0
 0  0  74260 5049976  89676 1376680    0    0     0   115 1286 1342 22  3 75  0  0
 0  0  74260 5054260  89684 1376060    0    0     0   114 1177 1237 22  3 75  0  0
 7  0  74260 4838936  89732 1376140    0    0     0   174 1539 1393 27  4 69  0  0
 0  0  74260 5054188  89884 1376464    0    0     0   353 1716 1727 23  4 73  0  0
 0  0  74260 5050600  89892 1376324    0    0     0    95 1305 1338 22  3 75  0  0
 0  0  74260 5046732  89900 1373556    0    0     0   151 1285 1363 21  3 76  0  0
 0  0  74260 5052104  89908 1376392    0    0     0   110  743  813 12  1 87  0  0
 0  0  74260 5063780  89916 1365304    0    0     0   118  181  304  1  0 99  0  0
 0  0  74260 5062300  89924 1365308    0    0     0    70  163  287  1  0 99  0  0
 0  0  74260 5061796  89940 1365308    0    0     0    85  216  373  1  0 99  0  0
 0  0  74260 5061544  89964 1365304    0    0     0    92  204  321  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  74260 5060788  89972 1365328    0    0     0    67  173  308  1  0 99  0  0
 0  0  74260 5052488  89972 1376652    0    0     0    23  760  795 15  2 84  0  0
 8  0  74260 4972728  89980 1375864    0    0     0   113 1393 1463 29  4 66  0  0
 0  0  74260 5055464  90004 1375928    0    0     0   170 1702 1509 40  6 54  0  0
 0  0  74260 5053532  90020 1376992    0    0     0   120 1406 1358 29  4 68  0  0
 9  0  74260 4945020  90028 1377740    0    0     0   121 1709 1572 39  6 56  0  0
 8  0  74260 4990984  90036 1376144    0    0     0   134 1346 1350 27  4 69  0  0
 0  0  74260 5058624  90044 1366160    0    0     0    57  994 1095 21  2 77  0  0
 8  0  74260 5027784  90052 1369020    0    0     0   114 1365 1376 29  4 67  0  0
 0  0  74260 5053292  90060 1377352    0    0     0   138 1344 1218 29  4 67  0  0
 0  0  74260 5054928  90084 1374660    0    0     0   152 1399 1448 29  4 67  0  0
 0  0  74260 5054996  90092 1377456    0    0     0   116 1323 1325 29  3 67  0  0
 2  0  74260 5057120  90100 1376520    0    0     0   110 1240 1212 29  4 67  0  0
 0  0  74260 5052512  90108 1374780    0    0     0   106 1397 1405 29  4 67  0  0
 1  0  74260 5055392  90116 1378476    0    0     0   119 2014 1828 28  4 67  0  0
 0  0  74260 5064772  90124 1366672    0    0     0    95  874  947 12  2 86  0  0
 0  0  74260 5063012  90156 1366676    0    0     0   106  227  373  1  0 99  0  0
 0  0  74260 5062760  90164 1366688    0    0     0    53  215  360  1  0 99  0  0
 0  0  74260 5062520  90172 1366696    0    0     0    55  196  339  1  0 99  0  0
 1  0  74260 5062520  90180 1366696    0    0     0    57  201  353  1  0 99  0  0
 0  0  74260 5062028  90188 1366720    0    0     0    58  204  335  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0  74260 5000584  90196 1376940    0    0     0    98 1213 1083 28  3 68  0  0
14  0  74260 4641588  90220 1377880    0    0     0   122 2267 1927 45  6 50  0  0
 2  0  74260 5052072  90228 1376672    0    0     0   158 2041 1947 40  6 53  0  0
 0  0  74260 5052996  90236 1378644    0    0     0   146 2671 2221 57  7 35  0  0
15  0  74260 4647708  90244 1377424    0    0     0   127 1914 1649 37  5 57  0  0
 0  0  74260 5050816  90252 1377220    0    0     0   135 2434 2043 48  7 45  0  0
 0  0  74260 5043876  90260 1380580    0    0     0   139 2804 2212 57  8 35  0  0
15  0  74260 4750140  90284 1378924    0    0     0   170 1849 1635 35  5 60  0  0
 0  0  74260 5049892  90300 1379132    0    0     0   150 2668 2106 53  7 40  0  0
10  0  74260 4947380  90308 1378312    0    0     0   151 2706 1955 55  7 37  0  0
16  0  74260 4612700  90316 1378444    0    0     0    66 2258 1889 46  6 48  0  0
 1  0  74260 5046784  90324 1377348    0    0     0   149 2503 2024 45  7 49  0  0
10  0  74260 4950716  90332 1375940    0    0     0   137 2812 1977 58  7 35  0  0
15  0  74260 4680820  90340 1379644    0    0     0   129 2271 1833 45  6 50  0  0
 0  0  74260 5046640  90356 1379860    0    0     0   148 2533 2092 46  7 47  0  0
 1  0  74260 4989260  90372 1389716    0    0     0   151 3248 3258 60  8 33  0  0
17  0  74260 4701648  90380 1390184    0    0     0   126 2475 1839 50  5 45  0  0
15  0  74260 4730148  90388 1391112    0    0     0   162 2442 2087 46  6 47  0  0
 0  0  74260 5019708  90396 1377744    2    0     2   110 1342 1265 23  3 74  0  0
 0  0  74260 5027664  90412 1377692    0    0     0    76  217  353  1  0 99  0  0
 0  0  74260 5025400  90428 1377824    0    0     0   251  200  357  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  74260 5049192  90460 1369564    0    0     0    98  322  469  1  0 99  0  0
 0  0  74260 5048940  90468 1369560    0    0     0    58  172  284  1  0 99  0  0
 0  0  74260 5048436  90476 1369560    0    0     0    58  164  292  1  0 99  0  0
16  0  74260 4908140  90484 1379776    0    0     0   137 1372 1216 30  4 66  0  0
17  0  74260 4740388  90492 1379980    0    0     0   106 3541 2551 71  8 21  0  0
 9  0  74260 4967976  90532 1380256    0    0     0   245 3946 2874 77 11 12  0  0
 1  0  74260 5003488  90540 1381736    0    0     0   214 4138 2928 71 10 19  0  0
 0  0  74260 5035560  90548 1381504    0    0     0   150 4024 2825 69 10 21  0  0
17  0  74260 4920136  90556 1382652    0    0     0   149 4119 2845 72 10 18  0  0
19  0  74260 4693864  90564 1381208    0    0     0   150 3320 2646 81 11  9  0  0
16  0  74260 4845968  90588 1382176    0    0     1   142 2628 2606 79 11 10  0  0
16  0  74260 4707828  90612 1380348    0    0     0   181 2596 2721 81 11  8  0  0
19  0  74260 4787604  90624 1380692    0    0     0   164 2676 2693 81 11  8  0  0
15  0  74260 4836856  90632 1380632    0    0     0   147 2615 2624 80 11  8  0  0
15  0  74260 4757860  90640 1380932    0    0     0   140 2575 2534 79 10 10  0  0
14  0  74260 4803920  90648 1381156    0    0     0   166 2690 2701 81 11  9  0  0
15  0  74260 4683412  90656 1381288    0    0     0   162 2582 2637 79 11 10  0  0
16  0  74260 4732448  90688 1381464    0    0     0   197 2604 2588 74 10 16  0  0
14  0  74260 4831200  90704 1381740    0    0     0   182 2747 2536 73  9 18  0  0
12  0  74260 4806008  90712 1382000    0    0     0   114 2688 2674 82 11  7  0  0
12  0  74260 4894404  90720 1382612    0    0     0   158 2649 2633 81 11  8  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0  74260 4927044  90736 1382412    0    0     0   176 2593 2662 75 11 14  0  0
 2  0  74260 4984132  90752 1382556    0    0     0   191 2711 2605 74 10 16  0  0
 5  0  74260 4929788  90760 1382804    0    0     0   154 2591 2559 78 11 11  0  0
 5  0  74260 4955120  90784 1385568    0    0     0   189 2618 2743 78 10 12  0  0
 4  0  74260 4901792  90792 1383212    0    0     0   110 2537 2554 73 10 17  0  0
 7  0  74260 4923384  90800 1383636    0    0     0   147 2622 2748 78 11 11  0  0
 0  0  74260 5039564  90808 1384960    0    0     0   144 2395 2279 57  8 35  0  0
 0  0  74260 5049164  90816 1375160    0    0     0    80  226  403  1  0 99  0  0
 0  0  74260 5047656  90824 1375112    0    0     0    58  234  367  1  0 99  0  0
 0  0  74260 5047404  90840 1375128    0    0     0    68  253  420  1  0 99  0  0
 0  0  74260 5047152  90848 1375128    0    0     0   116  214  345  1  0 99  0  0
 0  0  74260 5026664  90856 1390688    0    0     0    79  772 1571  3  0 97  0  0
 0  0  74260 5035936  90868 1374980    0    0     0    78  608 1248  2  0 98  0  0
17  0  74260 4749492  90892 1383620    0    0     0   125 2473 1802 51  7 42  0  0
15  0  74260 4731580  90900 1384220    0    0    39   177 4387 3003 89 11  0  0  0
15  0  74260 4715636  90916 1384384    0    0     0   201 4650 3039 89 11  0  0  0
15  0  74260 4798712  90924 1384736    0    0     0   179 4539 3039 89 11  0  0  0
16  0  74260 4787576  90932 1385064    0    0     8   158 4557 2980 89 11  0  0  0
16  0  74260 4834784  90940 1385380    0    0     0   188 3698 2969 88 12  0  0  0
16  0  74260 4763124  90948 1385424    0    0     0   128 2728 2765 89 11  0  0  0
15  0  74260 4759012  90956 1388464    0    0     0   176 2814 2833 89 11  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0  74260 4757840  90980 1385932    0    0     0   207 2793 2826 88 12  0  0  0
15  0  74260 4730300  90988 1386068    0    0     0   154 2759 2659 89 11  0  0  0
15  0  74260 4784572  90996 1386220    0    0     0   169 2800 2829 89 11  0  0  0
15  0  74260 4742544  91004 1386460    0    0     0   189 2770 2809 89 11  0  0  0
16  0  74260 4826124  91028 1386720    0    0     0   170 2780 2802 89 11  0  0  0
16  0  74260 4807260  91036 1389080    0    0     0   174 2786 2805 88 12  0  0  0
16  0  74260 4747752  91044 1387236    0    0     0   183 2779 2801 89 11  0  0  0
15  0  74260 4769644  91060 1387460    0    0     0   130 2714 2733 89 11  0  0  0
16  0  74260 4781632  91068 1387732    0    0     0   158 2801 2883 88 12  0  0  0
16  0  74260 4736468  91076 1388520    0    0     0   173 2748 2738 88 12  0  0  0
16  0  74260 4739756  91084 1389008    0    0     0   176 2787 2803 89 11  0  0  0
17  0  74260 4698116  91092 1389124    0    0     0   194 2805 2714 89 11  0  0  0
15  0  74260 4753148  91108 1397900    0    0     0   208 2873 3575 88 12  0  0  0
16  0  74260 4646296  91132 1398184    0    0     0   292 2776 2716 89 11  0  0  0
15  0  74260 4745556  91148 1398472    0    0     0   165 2808 2926 88 12  0  0  0
16  0  74260 4752440  91156 1396272    0    0     0   182 2787 2819 89 11  0  0  0
16  0  74260 4711228  91180 1399728    0    0     0   302 2774 2780 88 12  0  0  0
15  0  74260 4616252  91188 1396848    0    0     0   139 2732 2729 88 12  0  0  0
16  0  74260 4740344  91212 1391060    0    0     0   280 2747 2883 88 12  0  0  0
17  0  74260 4741828  91228 1391236    0    0     0   230 2732 2714 88 12  0  0  0
17  0  74260 4826824  91236 1391444    0    0     0   169 2791 2822 88 12  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0  74260 4752592  91244 1391752    0    0     0   178 2752 2702 88 12  0  0  0
16  0  74260 4699344  91252 1391740    0    0     0   118 2751 2705 89 11  0  0  0
16  1  74260 4709056  91276 1392056    0    0     0   223 2838 2880 89 11  0  0  0
16  0  74260 4682816  91284 1392300    0    0     0   163 2723 2628 88 12  0  0  0
16  0  74260 4737180  91316 1392840    0    0    26   217 2784 2815 88 12  0  0  0
16  0  74260 4757588  91324 1392984    0    0     0   152 2775 2813 88 12  0  0  0
16  0  74260 4746988  91332 1393192    0    0     0   161 2763 2817 88 12  0  0  0
16  0  74260 4730124  91340 1393576    0    0     0   174 2747 2777 88 12  0  0  0
16  0  74260 4727604  91356 1393644    0    0     0   145 2793 2773 88 12  0  0  0
16  0  74260 4673192  91364 1393948    0    0     0   174 2753 2746 89 11  0  0  0
16  0  74260 4700068  91396 1394176    0    0     0   231 2778 2868 88 12  0  0  0
16  0  74260 4816804  91404 1394344    0    0     0   184 2785 2742 89 11  0  0  0
15  0  74260 4715664  91412 1394540    0    0     0   168 2736 2793 89 12  0  0  0
16  0  74260 4777084  91420 1394728    0    0     0   170 2763 2813 88 12  0  0  0
16  0  74260 4691560  91444 1395496    0    0     0   212 2769 2785 89 11  0  0  0
16  0  74260 4794420  91452 1395272    0    0     0   159 2783 2870 89 11  0  0  0
16  0  74260 4677888  91460 1395316    0    0     0   123 2779 2866 89 11  0  0  0
10  0  74260 4838524  91476 1395576    0    0     0   172 2756 2779 88 12  0  0  0
 0  0  74260 5024556  91484 1386888    0    0     0   103  701  888 10  2 88  0  0
 0  0  74260 4989732  91492 1412132    0    0     0    89  657 1391  2  1 97  0  0
 0  0  74260 5016276  91516 1386884    0    0     0   101  609 1153  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  74260 5016024  91524 1386892    0    0     0    69  210  372  1  0 99  0  0
 0  0  74260 5015520  91532 1386844    0    0     0    64  204  339  1  0 99  0  0
 0  0  74260 5015016  91548 1386852    0    0     0    41  206  352  1  0 99  0  0
 0  0  74260 5014764  91556 1386852    0    0     0    81  217  351  1  0 99  0  0
16  0  74260 4799392  91564 1395784    0    0     0   186 3902 2676 81 10  9  0  0
15  0  74260 4794476  91572 1396116    0    0     0   167 4608 3038 89 11  0  0  0
15  0  74260 4779900  91580 1396396    0    0     0   179 4524 2970 89 11  0  0  0
16  0  74260 4714292  91588 1396500    0    0     0   164 4206 2991 89 11  0  0  0
16  0  74260 4636384  91620 1396744    0    0     0   219 4148 2918 89 11  0  0  0
15  0  74260 4727592  91628 1397024    0    0     0   188 4146 2927 88 12  0  0  0
15  0  74260 4739792  91636 1397332    0    0     0   133 2931 2736 88 12  0  0  0
16  0  74260 4744512  91652 1397492    0    0     0   193 2768 2778 88 12  0  0  0
15  0  74260 4674356  91660 1397704    0    0     0   178 2789 2735 88 12  0  0  0
15  0  74260 4780096  91668 1398496    0    0     0   163 2795 2812 88 12  0  0  0
15  0  74260 4756028  91700 1398232    0    0     0   207 2783 2779 89 11  0  0  0
16  0  74260 4684940  91708 1398492    0    0     0   159 2763 2771 88 12  0  0  0
17  0  74260 4723588  91716 1400764    0    0     0   170 2766 2873 88 12  0  0  0
16  0  74260 4725248  91724 1398880    0    0     0   100 2731 2724 89 11  0  0  0
18  0  74260 4727068  91732 1398988    0    0     0   166 2765 2765 88 12  0  0  0
15  0  74260 4740176  91740 1399228    0    0     0   181 2783 2813 89 11  0  0  0
18  0  74260 4726172  91764 1399412    0    0     0   214 2751 2748 88 12  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0  74260 4642316  91772 1399668    0    0     0   155 2743 2718 88 12  0  0  0
16  0  74260 4696808  91780 1399908    0    0     0   189 2767 2803 88 12  0  0  0
16  0  74260 4695956  91796 1400200    0    0     0   166 2766 2729 88 12  0  0  0
16  0  74260 4715576  91804 1400320    0    0     0   182 2790 2783 88 12  0  0  0
16  0  74260 4753188  91812 1400496    0    0     0   125 2774 2837 88 12  0  0  0
16  0  74260 4678008  91820 1400788    0    0     0   162 2766 2788 89 11  0  0  0
16  0  74260 4700456  91844 1401004    0    0     0   190 2759 2736 89 11  0  0  0
16  0  74260 4649692  91852 1401252    0    0     0   177 2792 2838 88 12  0  0  0
16  0  74260 4793324  91860 1401716    0    0     0   185 2767 2838 88 12  0  0  0
15  0  74260 4733136  91876 1412412    0    0     0   212 2764 3446 88 12  0  0  0
16  0  74260 4678008  91884 1412628    0    0     0   232 2798 2786 89 11  0  0  0
16  0  74260 4693968  91892 1412904    0    0     0   158 2788 2861 88 12  0  0  0
15  0  74260 4641104  91916 1410616    0    0     0   231 2777 2832 89 11  0  0  0
16  0  74260 4768728  91924 1410768    0    0     0   179 2740 2737 89 11  0  0  0
17  0  74260 4648544  91948 1411048    0    0     0   324 2801 2836 88 12  0  0  0
16  0  74260 4719840  91972 1402948    0    0     0   259 2753 2829 88 12  0  0  0
16  0  74260 4686228  91980 1403208    0    0     0   177 2786 2762 89 11  0  0  0
15  0  74260 4665928  91988 1403436    0    0     0   145 2804 2890 88 12  0  0  0
16  0  74260 4721264  92004 1403624    0    0     0   190 2797 2825 89 11  0  0  0
16  0  74260 4614920  92012 1403812    0    0     0   116 2747 2817 88 12  0  0  0
16  0  74260 4742428  92036 1407200    0    0     0   244 2828 2889 88 12  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0  74260 4692604  92044 1404492    0    0     0   172 2753 2778 88 12  0  0  0
17  0  74260 4671132  92052 1404688    0    0     0   210 2748 2778 89 11  0  0  0
16  0  74260 4773524  92060 1405088    0    0     0   179 2780 2864 88 12  0  0  0
15  0  74260 4706192  92092 1405092    0    0     0   184 2787 2756 88 12  0  0  0
16  0  74260 4593216  92172 1405200    0    0     0   257 2793 2839 89 11  0  0  0
16  0  74260 4773460  92196 1405664    0    0     0   190 2761 2875 88 12  0  0  0
16  0  74260 4744144  92204 1405632    0    0     0   175 2720 2730 89 11  0  0  0
16  0  74260 4682996  92212 1405812    0    0     0   169 2768 2752 89 11  0  0  0
15  0  74260 4732712  92220 1405976    0    0     0   189 2726 2761 88 12  0  0  0
15  0  74260 4755556  92244 1406324    0    0     0   206 2761 2764 89 11  0  0  0
16  0  74260 4713072  92252 1406428    0    0     0   163 2746 2779 89 11  0  0  0
16  0  74260 4700956  92268 1406836    0    0     0   190 2817 2905 88 12  0  0  0
