procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  74260 5053288  87592 1370520    0    1    22    57   71   24 15  3 82  0  0
 4  0  74260 5056952  87604 1363880    0    0     0    62  628 1181  3  1 96  0  0
 1  0  74260 5062052  87612 1364400    0    0     0    97  508  709  3  1 97  0  0
 1  0  74260 5040004  87620 1363980    0    0     0    94  462  696  2  1 97  0  0
 0  0  74260 5073612  87628 1363980    0    0     0    99  518  729  3  1 96  0  0
 0  0  74260 5073064  87644 1363960    0    0     0   158  543  742  3  1 97  0  0
 0  0  74260 5065028  87660 1363972    0    0     0    94  523  716  3  1 97  0  0
 0  0  74260 5068212  87668 1364428    0    0     0    78  526  725  3  0 97  0  0
 1  0  74260 5028948  87676 1363924    0    0     0    93  470  716  3  1 97  0  0
 0  0  74260 5069228  87692 1363984    0    0     0    67  462  679  2  0 97  0  0
 0  0  74260 5068752  87700 1363984    0    0     0    91  511  742  3  0 97  0  0
 0  0  74260 5079040  87708 1353240    0    0     0   104  211  350  1  0 99  0  0
 0  0  74260 5078048  87748 1353244    0    0     0   145  191  327  1  0 99  0  0
 0  0  74260 5077572  87756 1353256    0    0     0    65  188  334  1  0 99  0  0
 0  0  74260 5077320  87764 1353196    0    0     0    66  166  278  1  0 99  0  0
 0  0  74260 5077068  87772 1353196    0    0     0    54  182  296  1  0 99  0  0
 0  0  74260 5076568  87780 1353208    0    0     0    25  163  289  1  0 99  0  0
 0  0  74260 5073236  87788 1364236    0    0     0    95  619  829  5  1 94  0  0
 1  0  74260 5069164  87812 1364344    0    0     0   118  558  780  4  1 96  0  0
 0  0  74260 5067960  87820 1364284    0    0     0   100  684  854  5  1 94  0  0
 0  0  74260 5067168  87828 1364396    0    0     0    93  663  911  5  1 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  74260 5067340  87844 1364272    0    0     0   111  630  852  5  1 94  0  0
 0  0  74260 5057540  87852 1364268    0    0     0   102  636  908  5  1 94  0  0
 0  0  74260 5068896  87860 1364384    0    0     0   108  714  868  5  1 94  0  0
 0  0  74260 5068580  87956 1364416    0    0     0   249  770 1027  5  1 94  0  0
 2  0  74260 5027032  87964 1364468    0    0     0   110  633  903  5  1 94  0  0
 0  0  74260 5070316  87972 1364492    0    0     0   117  777  993  6  1 93  0  0
 0  0  74260 5068616  87980 1353640    0    0     0    93  268  407  1  0 99  0  0
 0  0  74260 5068364  87988 1353496    0    0     0    89  186  306  1  0 99  0  0
 1  0  74260 5068364  87996 1353500    0    0     0    78  201  312  1  0 99  0  0
 0  0  74260 5067860  88004 1353500    0    0     0    71  186  309  1  0 99  0  0
 0  0  74260 5067636  88020 1353508    0    0     0    46  187  308  1  0 99  0  0
