procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0     20 1816884 365348 4633776    0    0     0    13  130  209  0  0 100  0  0
 5  0     20 1726304 365356 4643144    0    0     0   144  662  604  8  1 91  0  0
 0  0     20 1825396 365360 4643692    0    0     0    70 1058 1016 10  2 89  0  0
 5  0     20 1659948 365364 4644200    0    0     0   110 1062 1019 13  2 85  0  0
 0  0     20 1820828 365368 4645628    0    0     0    79 1266 1565 15  3 83  0  0
 5  0     20 1665460 365376 4645192    0    0     0   110 1045  894 13  2 85  0  0
 0  0     20 1821960 365384 4643504    0    0     0    76 1143 1039 14  2 84  0  0
 0  0     20 1809012 365392 4645312    0    0     0   134 1351 1095 16  2 82  0  0
 2  0     20 1788752 365400 4645832    0    0     0    91 1413 1183 14  2 83  0  0
 0  0     20 1823008 365416 4634900    0    0     0    60 1196  989  9  2 89  0  0
 6  0     20 1818348 365424 4646228    0    0     0    82 1097 1076 11  2 88  0  0
 0  0     20 1819360 365432 4642224    0    0     0    77 1360 1111 16  2 82  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0     20 1681800 365440 4645768    0    0     0    71 1119  986 12  2 86  0  0
 0  0     20 1817692 365448 4634612    0    0     0    62  354  457  2  1 97  0  0
 0  0     20 1816688 365456 4634616    0    0     0   110  147  210  0  0 100  0  0
 0  0     20 1816940 365464 4634524    0    0     0     9  142  206  0  0 100  0  0
 0  0     20 1826340 365472 4634536    0    0     0    13  167  243  0  0 100  0  0
 0  0     20 1825584 365480 4634668    0    0     0    18  133  182  0  0 100  0  0
 0  0     20 1825332 365488 4634684    0    0     0     9  128  201  0  0 100  0  0
 6  0     20 1673904 365492 4646284    0    0     0    75  639  616  9  2 89  0  0
 0  0     20 1808952 365500 4646532    0    0     0   136 1257 1189 18  3 80  0  0
 5  0     20 1700884 365508 4644768    0    0     0    75 1180 1119 14  2 83  0  0
 0  0     20 1810792 365516 4646436    0    0     0    78 1305 1188 15  2 82  0  0
 0  0     20 1802596 365524 4646768    0    0     0    87 1490 1464 18  3 80  0  0
 3  0     20 1797772 365536 4646188    0    0     0   129 1437 1321 14  2 84  0  0
 3  0     20 1772352 365540 4646648    0    0     0    93 1107 1194 13  2 85  0  0
 0  0     20 1812936 365548 4646936    0    0     0    80 1268 1287 13  2 84  0  0
 6  0     20 1672044 365556 4646968    0    0     0   132 1243 1158 16  2 82  0  0
 0  0     20 1810860 365564 4647180    0    0     0   110 1323 1193 16  2 81  0  0
 0  0     20 1803832 365572 4646896    0    0     0   115 1100  962 14  2 84  0  0
 0  0     20 1809460 365580 4647068    0    0     0    78 1405 1322 14  2 83  0  0
 0  0     20 1824760 365588 4635516    0    0     0    86  225  334  0  0 100  0  0
 0  0     20 1823500 365596 4635532    0    0     0    12  176  248  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0     20 1823248 365604 4635536    0    0     0    74  169  249  0  0 100  0  0
 0  0     20 1822744 365612 4635656    0    0     0     6  169  256  0  0 100  0  0
 0  0     20 1822744 365616 4635616    0    0     0     9  177  248  0  0 100  0  0
 0  0     20 1822492 365624 4635620    0    0     0    11  175  268  0  0 100  0  0
 0  0     20 1813288 365632 4647260    0    0     0    76 1221 1006 19  3 78  0  0
 7  0     20 1605684 365640 4647160    0    0     0   123 1405 1170 23  3 74  0  0
 0  0     20 1802476 365648 4647484    0    0     0    89 1401 1341 18  3 78  0  0
 0  0     20 1810668 365656 4647632    0    0     0   201 1775 1510 25  4 72  0  0
 0  0     20 1805360 365664 4647620    0    0     0   141 1817 1456 27  4 69  0  0
 7  0     20 1728028 365672 4647520    0    0     0    73 1559 1159 19  3 78  0  0
 0  0     20 1813656 365680 4644096    0    0     0   137 1687 1327 30  4 67  0  0
 4  0     20 1757980 365688 4648864    0    0     0    87 1726 1378 23  4 73  0  0
 0  0     20 1811028 365696 4648004    0    0     0   141 1753 1574 22  3 75  0  0
 0  0     20 1803424 365704 4648164    0    0     1   137 1439 1148 22  3 75  0  0
 0  0     20 1794756 365712 4648312    0    0     0   141 1820 1503 25  4 71  0  0
 0  0     20 1822788 365720 4636612    0    0     0    70  635  661  8  1 91  0  0
 0  0     20 1821148 365728 4636628    0    0     0    42  170  251  0  0 100  0  0
 0  0     20 1820144 365736 4636788    0    0     0    19  142  213  0  0 100  0  0
 0  0     20 1819668 365744 4636692    0    0     0    13  141  191  0  0 100  0  0
 0  0     20 1818912 365752 4636636    0    0     0    10  142  186  0  0 100  0  0
 0  0     20 1818660 365760 4636636    0    0     0    78  160  251  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0     20 1809660 365768 4648492    0    0     0    59  656  605 14  2 84  0  0
 0  0     20 1809272 365776 4648624    0    0     0   139 1248 1138 27  4 69  0  0
 0  0     20 1808080 365784 4645004    0    0     0    82 1254 1045 28  4 69  0  0
 0  0     20 1808760 365792 4645176    0    0     0   131 1233 1137 28  4 69  0  0
 0  0     20 1806568 365800 4645332    0    0     0    81 1212 1106 28  4 68  0  0
 0  0     20 1807492 365808 4645440    0    0     0   126 1288 1155 28  4 68  0  0
 0  0     20 1804212 365816 4649388    0    0     0   162 1913 1619 25  4 71  0  0
 0  0     20 1803408 365824 4650016    0    0     0   142 2073 1636 26  4 70  0  0
 8  0     20 1667268 365832 4648796    0    0     0    82 1484 1294 25  4 71  0  0
 8  0     20 1611496 365840 4648948    0    0     0   133 1356 1122 30  4 66  0  0
 0  0     20 1805652 365848 4649896    0    0     0    77 1096  959 24  3 72  0  0
 1  0     20 1791376 365856 4650072    0    0     0    97 2306 1814 29  4 67  0  0
 0  0     20 1806156 365864 4649892    0    0     0   177 2328 1810 23  4 73  0  0
 0  0     20 1809608 365872 4638392    0    0     0    46  449  534  4  1 95  0  0
 0  0     20 1808348 365880 4638416    0    0     0    94  170  235  0  0 100  0  0
 0  0     20 1807092 365896 4638428    0    0     0    24  166  267  0  0 100  0  0
 0  0     20 1806840 365904 4638416    0    0     0    22  153  227  0  0 100  0  0
